# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-12-17 09:19:47 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03451500 FRENCH BROAD RIVER AT ASHEVILLE, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 03451500
#            TS   parameter     statistic     Description
#        249449       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        249450       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        249451       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        249453       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        249454       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        249455       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        249457       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        249458       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        249459       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        249471       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        249472       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        249473       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean)
#         87920       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         87921       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         87922       00010     00003     Temperature, water, degrees Celsius (Mean)
#         87923       00060     00001     Discharge, cubic feet per second (Maximum)
#         87924       00060     00002     Discharge, cubic feet per second (Minimum)
#         87925       00060     00003     Discharge, cubic feet per second (Mean)
#         87926       00065     00001     Gage height, feet (Maximum)
#         87927       00065     00002     Gage height, feet (Minimum)
#         87928       00065     00003     Gage height, feet (Mean)
#         87929       00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	249449_00400_00001	249449_00400_00001_cd	249450_00400_00002	249450_00400_00002_cd	249451_00400_00008	249451_00400_00008_cd	249453_00300_00002	249453_00300_00002_cd	249454_00300_00001	249454_00300_00001_cd	249455_00300_00003	249455_00300_00003_cd	249457_00095_00001	249457_00095_00001_cd	249458_00095_00003	249458_00095_00003_cd	249459_00095_00002	249459_00095_00002_cd	249471_63680_00002	249471_63680_00002_cd	249472_63680_00001	249472_63680_00001_cd	249473_63680_00003	249473_63680_00003_cd	87920_00010_00001	87920_00010_00001_cd	87921_00010_00002	87921_00010_00002_cd	87922_00010_00003	87922_00010_00003_cd	87925_00060_00003	87925_00060_00003_cd	87928_00065_00003	87928_00065_00003_cd	87929_00045_00006	87929_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03451500	2021-10-01	8.4	A	7.0	A	7.4	A	8.3	A	10.1	A	9.0	A	43	A	42	A	40	A	2.2	A	4.6	A	2.9	A	19.8	A	18.1	A	19.1	A	1130	A	1.67	A	0.00	A
USGS	03451500	2021-10-02	8.2	A	7.0	A	7.3	A	8.2	A	9.8	A	8.9	A	42	A	41	A	41	A	1.8	A	3.6	A	2.5	A	20.1	A	18.7	A	19.5	A	1110	A	1.65	A	0.00	A
USGS	03451500	2021-10-03	7.5	A	7.0	A	7.2	A	8.1	A	9.2	A	8.6	A	47	A	43	A	41	A							20.0	A	19.1	A	19.4	A	1110	A	1.65	A	0.25	A
USGS	03451500	2021-10-04	7.8	A	7.0	A	7.1	A	8.1	A	9.6	A	8.6	A	45	A	43	A	41	A							20.1	A	18.5	A	19.2	A	1220	A	1.73	A	0.08	A
USGS	03451500	2021-10-05	7.2	A	7.0	A	7.1	A	8.2	A	9.0	A	8.5	A	44	A	42	A	41	A							19.5	A	18.5	A	18.9	A	1370	A	1.84	A	0.14	A
USGS	03451500	2021-10-06	7.0	A	6.8	A	6.9	A	8.0	A	8.5	A	8.2	A	48	A	44	A	41	A							19.1	A	18.6	A	18.9	A	2620	A	2.61	A	0.61	A
USGS	03451500	2021-10-07	6.9	A	6.4	A	6.7	A	8.0	A	8.5	A	8.2	A	45	A	40	A	34	A							18.7	A	17.9	A	18.2	A	9920	A	5.88	A	3.89	A
USGS	03451500	2021-10-08	6.7	A	6.5	A	6.6	A	7.8	A	8.2	A	8.0	A	36	A	35	A	33	A	35.3	A	175	A	79.9	A	18.4	A	17.9	A	18.1	A	10700	A	6.27	A	0.56	A
USGS	03451500	2021-10-09	6.6	A	6.5	A	6.5	A	7.7	A	7.8	A	7.8	A	39	A	34	A	33	A	16.2	A	41.1	A	30.1	A	18.9	A	18.1	A	18.5	A	8930	A	5.57	A	0.05	A
USGS	03451500	2021-10-10	6.6	A	6.4	A	6.5	A	7.8	A	7.9	A	7.9	A	33	A	33	A	32	A	12.0	A	24.6	A	18.5	A	19.2	A	18.3	A	18.6	A	7050	A	4.79	A	0.00	A
USGS	03451500	2021-10-11	6.8	A	6.5	A	6.6	A	7.9	A	8.4	A	8.2	A	38	A	36	A	33	A	12.1	A	20.4	A	15.3	A	19.3	A	18.3	A	18.7	A	4310	A	3.53	A	0.00	A
USGS	03451500	2021-10-12	6.9	A	6.7	A	6.8	A	8.3	A	8.8	A	8.5	A	37	A	37	A	37	A	8.4	A	13.5	A	10.3	A	19.2	A	17.9	A	18.5	A	2990	A	2.83	A	0.00	A
USGS	03451500	2021-10-13	7.0	A	6.7	A	6.9	A	8.4	A	8.9	A	8.6	A	39	A	38	A	37	A	7.1	A	10.2	A	8.3	A	19.4	A	17.8	A	18.6	A	2570	A	2.59	A	0.00	A
USGS	03451500	2021-10-14	7.0	A	6.8	A	6.9	A	8.4	A	9.0	A	8.6	A	39	A	39	A	38	A	6.3	A	8.2	A	7.2	A	19.3	A	17.6	A	18.6	A	2310	A	2.44	A	0.00	A
