# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-12-17 08:49:47 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03451500 FRENCH BROAD RIVER AT ASHEVILLE, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 03451500
#            TS   parameter     statistic     Description
#        249449       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        249450       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        249451       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        249453       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        249454       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        249455       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        249457       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        249458       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        249459       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        249471       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        249472       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        249473       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean)
#         87920       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         87921       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         87922       00010     00003     Temperature, water, degrees Celsius (Mean)
#         87923       00060     00001     Discharge, cubic feet per second (Maximum)
#         87924       00060     00002     Discharge, cubic feet per second (Minimum)
#         87925       00060     00003     Discharge, cubic feet per second (Mean)
#         87926       00065     00001     Gage height, feet (Maximum)
#         87927       00065     00002     Gage height, feet (Minimum)
#         87928       00065     00003     Gage height, feet (Mean)
#         87929       00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	249449_00400_00001	249449_00400_00001_cd	249450_00400_00002	249450_00400_00002_cd	249451_00400_00008	249451_00400_00008_cd	249453_00300_00002	249453_00300_00002_cd	249454_00300_00001	249454_00300_00001_cd	249455_00300_00003	249455_00300_00003_cd	249457_00095_00001	249457_00095_00001_cd	249458_00095_00003	249458_00095_00003_cd	249459_00095_00002	249459_00095_00002_cd	249471_63680_00002	249471_63680_00002_cd	249472_63680_00001	249472_63680_00001_cd	249473_63680_00003	249473_63680_00003_cd	87920_00010_00001	87920_00010_00001_cd	87921_00010_00002	87921_00010_00002_cd	87922_00010_00003	87922_00010_00003_cd	87925_00060_00003	87925_00060_00003_cd	87928_00065_00003	87928_00065_00003_cd	87929_00045_00006	87929_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03451500	2022-10-01	7.5	A	7.1	A	7.3	A	9.2	A	10.3	A	9.7	A	53	A	48	A	45	A	4.9	A	10.3	A	7.0	A	14.1	A	13.1	A	13.6	A	1130	A	1.66	A	0.05	A
USGS	03451500	2022-10-02	7.4	A	7.2	A	7.3	A	9.2	A	10.1	A	9.7	A	50	A	48	A	45	A	3.8	A	6.1	A	4.7	A	14.1	A	13.4	A	13.7	A	987	A	1.55	A	0.00	A
USGS	03451500	2022-10-03	7.9	A	7.2	A	7.4	A	9.4	A	10.5	A	9.9	A	46	A	45	A	45	A	3.2	A	5.0	A	3.9	A	14.9	A	13.4	A	14.1	A	921	A	1.49	A	0.00	A
USGS	03451500	2022-10-04	8.0	A	7.2	A	7.4	A	9.2	A	10.4	A	9.7	A	47	A	46	A	45	A	3.2	A	4.7	A	3.9	A	16.2	A	14.2	A	15.1	A	896	A	1.47	A	0.00	A
USGS	03451500	2022-10-05	8.0	A	7.2	A	7.4	A	9.1	A	10.6	A	9.7	A	47	A:[4]	47	A:[4]	46	A:[4]	3.6	A	5.1	A	4.2	A	15.9	A	13.5	A	14.8	A	875	A	1.45	A	0.00	A
USGS	03451500	2022-10-06	8.1	A	7.2	A	7.4	A	9.2	A	10.6	A	9.7	A							4.3	A:[4]	5.4	A:[4]	4.8	A:[4]	16.1	A	13.6	A	14.9	A	849	A	1.43	A	0.00	A
USGS	03451500	2022-10-07	8.0	A	7.2	A	7.4	A	9.1	A	10.6	A	9.7	A													15.9	A	14.0	A	15.0	A	832	A	1.42	A	0.00	A
USGS	03451500	2022-10-08	8.1	A	7.3	A	7.5	A	9.0	A	10.6	A	9.7	A													16.0	A	14.4	A	15.2	A	808	A	1.40	A	0.00	A
USGS	03451500	2022-10-09	8.2	A	7.3	A	7.5	A	9.2	A	10.7	A	9.8	A													15.7	A	13.7	A	14.8	A	796	A	1.38	A	0.00	A
USGS	03451500	2022-10-10	8.3	A	7.3	A	7.5	A	9.2	A	10.8	A	9.8	A													16.0	A	13.6	A	14.7	A	791	A	1.38	A	0.00	A
USGS	03451500	2022-10-11	8.5	A	7.3	A	7.5	A	9.2	A	11.0	A	9.9	A													16.1	A	13.9	A	15.0	A	786	A	1.38	A	0.00	A
USGS	03451500	2022-10-12	8.2	A	7.3	A	7.4	A	9.0	A	10.5	A	9.6	A	51	A	49	A	47	A	1.5	A	2.5	A	1.9	A	16.7	A	15.4	A	15.9	A	780	A	1.37	A	0.00	A
USGS	03451500	2022-10-13	8.3	A	7.2	A	7.4	A	8.8	A	10.4	A	9.5	A	51	A	49	A	48	A	1.7	A	2.4	A	2.0	A	17.3	A	15.6	A	16.3	A	781	A	1.37	A	0.00	A
USGS	03451500	2022-10-14	8.3	A	7.2	A	7.4	A	8.8	A	10.7	A	9.6	A	51	A	50	A	49	A	1.5	A	2.6	A	2.1	A	16.1	A	14.4	A	15.3	A	778	A	1.37	A	0.00	A
USGS	03451500	2022-10-15	8.3	A	7.2	A	7.4	A	9.1	A	10.9	A	9.8	A	51	A	50	A	49	A	1.5	A	2.4	A	1.9	A	15.7	A	13.6	A	14.7	A	761	A	1.35	A	0.00	A
