# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-12-16 14:10:38 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03451500 FRENCH BROAD RIVER AT ASHEVILLE, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 03451500
#            TS   parameter     statistic     Description
#        249449       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        249450       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        249451       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        249453       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        249454       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        249455       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        249457       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        249458       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        249459       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        249471       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        249472       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        249473       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean)
#         87920       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         87921       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         87922       00010     00003     Temperature, water, degrees Celsius (Mean)
#         87923       00060     00001     Discharge, cubic feet per second (Maximum)
#         87924       00060     00002     Discharge, cubic feet per second (Minimum)
#         87925       00060     00003     Discharge, cubic feet per second (Mean)
#         87926       00065     00001     Gage height, feet (Maximum)
#         87927       00065     00002     Gage height, feet (Minimum)
#         87928       00065     00003     Gage height, feet (Mean)
#         87929       00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	249449_00400_00001	249449_00400_00001_cd	249450_00400_00002	249450_00400_00002_cd	249451_00400_00008	249451_00400_00008_cd	249453_00300_00002	249453_00300_00002_cd	249454_00300_00001	249454_00300_00001_cd	249455_00300_00003	249455_00300_00003_cd	249457_00095_00001	249457_00095_00001_cd	249458_00095_00003	249458_00095_00003_cd	249459_00095_00002	249459_00095_00002_cd	249471_63680_00002	249471_63680_00002_cd	249472_63680_00001	249472_63680_00001_cd	249473_63680_00003	249473_63680_00003_cd	87920_00010_00001	87920_00010_00001_cd	87921_00010_00002	87921_00010_00002_cd	87922_00010_00003	87922_00010_00003_cd	87925_00060_00003	87925_00060_00003_cd	87928_00065_00003	87928_00065_00003_cd	87929_00045_00006	87929_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03451500	2023-10-01	8.3	A	7.2	A	7.5	A	7.9	A	9.7	A	8.6	A	55	A	54	A	52	A	3.0	A	5.8	A	4.3	A	22.8	A	20.0	A	21.3	A	530	A	1.12	A	0.00	A
USGS	03451500	2023-10-02	8.6	A	7.2	A	7.5	A	7.7	A	9.8	A	8.6	A	54	A	53	A	52	A	2.9	A	5.5	A	4.1	A	23.3	A	20.4	A	21.4	A	518	A	1.10	A	0.00	A
USGS	03451500	2023-10-03	8.6	A	7.2	A	7.5	A	7.9	A	9.9	A	8.7	A	56	A	54	A	53	A	3.0	A	5.9	A	4.2	A	22.7	A	19.3	A	20.9	A	504	A	1.09	A	0.00	A
USGS	03451500	2023-10-04	8.1	A	7.2	A	7.5	A	7.8	A	9.5	A	8.6	A	55	A	54	A	53	A	2.9	A	5.7	A	4.1	A	21.7	A	19.7	A	20.7	A	490	A	1.07	A	0.00	A
USGS	03451500	2023-10-05	8.6	A	7.1	A	7.6	A	7.9	A	10.0	A	8.8	A	56	A	54	A	52	A	3.0	A	5.5	A	4.1	A	21.8	A	19.5	A	20.4	A	482	A	1.06	A	0.00	A
USGS	03451500	2023-10-06	8.5	A	7.2	A	7.5	A	7.9	A	9.7	A	8.7	A	57	A	55	A	53	A	2.9	A	5.8	A	4.1	A	21.3	A	19.0	A	20.1	A	480	A	1.06	A	0.12	A
USGS	03451500	2023-10-07	8.4	A	7.1	A	7.5	A	7.7	A	10.0	A	8.7	A	63	A	56	A	54	A	3.2	A	5.5	A	4.4	A	20.0	A	17.1	A	18.8	A	498	A	1.08	A	0.01	A
USGS	03451500	2023-10-08	8.4	A	7.2	A	7.5	A	8.6	A	10.5	A	9.4	A	57	A	55	A	53	A	2.9	A	5.2	A	3.9	A	17.2	A	14.9	A	15.8	A	483	A	1.06	A	0.00	A
USGS	03451500	2023-10-09	8.2	A	7.2	A	7.4	A	9.0	A	10.6	A	9.7	A	56	A	54	A	53	A	2.7	A	4.7	A	3.7	A	15.6	A	13.3	A	14.4	A	468	A	1.05	A	0.00	A
USGS	03451500	2023-10-10	8.4	A	7.2	A	7.5	A	9.0	A	10.8	A	9.8	A	56	A	55	A	54	A	2.5	A	4.7	A	3.6	A	16.7	A	13.8	A	14.9	A	463	A	1.04	A	0.00	A
USGS	03451500	2023-10-11	8.1	A	7.2	A	7.5	A	8.9	A	10.5	A	9.7	A	58	A	56	A	55	A	2.6	A	4.9	A	3.5	A	15.6	A	14.0	A	14.9	A	463	A	1.04	A	0.00	A
USGS	03451500	2023-10-12	8.3	A	7.2	A	7.4	A	8.8	A	10.6	A	9.5	A	63	A	58	A	56	A	3.3	A	5.4	A	4.1	A	17.9	A	14.6	A	15.9	A	508	A	1.09	A	0.18	A
USGS	03451500	2023-10-13	8.3	A	7.1	A	7.4	A	8.5	A	10.5	A	9.2	A	58	A	55	A	54	A	3.0	A	6.7	A	4.5	A	18.3	A	15.4	A	16.7	A	558	A	1.15	A	0.02	A
